"level_0","index","IsHoliday","Temperature","Fuel_Price","MarkDown1","MarkDown2","MarkDown3","MarkDown4","MarkDown5","CPI","Unemployment","Type","Size"
"0","0","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"1","1","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"2","2","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"3","3","0","42.31","2.572","0","0","0","0","0","211.0963582","","3","151315"
"4","4","0","42.31","2.572","0","0","0","0","0","211.0963582","","3","151315"
"5","5","0","42.31","2.572","0","0","0","0","0","211.0963582","","3","151315"
"6","6","0","42.31","2.572","0","0","0","0","0","211.0963582","","3","151315"
"7","7","0","42.31","2.572","0","0","0","0","0","211.0963582","","3","151315"
"8","8","0","42.31","2.572","0","0","0","0","0","211.0963582","","3","151315"
"9","9","0","42.31","2.572","0","0","0","0","0","211.0963582","","3","151315"
"10","10","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"11","11","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"12","12","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"13","13","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"14","14","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"15","15","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"16","16","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"17","17","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"18","18","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"19","19","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"20","20","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"21","21","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"22","22","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"23","23","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"24","24","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"25","25","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"26","26","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"27","27","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"28","28","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"29","29","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"30","30","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"31","31","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"32","32","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"33","33","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"34","34","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"35","35","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"36","36","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"37","37","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"38","38","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"39","39","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"40","40","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"41","41","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"42","42","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"43","43","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"44","44","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"45","45","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"46","46","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"47","47","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"48","48","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"49","49","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"50","50","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"51","51","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"52","52","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"53","53","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"54","54","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"55","55","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"56","56","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"57","57","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"58","58","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"59","59","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"60","60","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"61","61","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"62","62","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"63","63","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"64","64","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"65","65","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"66","66","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"67","67","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"68","68","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"69","69","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"70","70","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"71","71","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"72","72","0","42.31","2.572","0","0","0","0","0","211.0963582","8.106","3","151315"
"73","73","1","38.51","2.548","0","0","0","0","0","211.2421698","8.106","3","151315"
"74","74","1","38.51","2.548","0","0","0","0","0","211.2421698","8.106","3","151315"
"75","75","1","38.51","2.548","0","0","0","0","0","211.2421698","8.106","3","151315"
"76","76","1","38.51","2.548","0","0","0","0","0","211.2421698","8.106","3","151315"
"77","77","1","38.51","2.548","0","0","0","0","0","211.2421698","8.106","3","151315"
"78","78","1","38.51","2.548","0","0","0","0","0","211.2421698","8.106","3","151315"
"79","79","1","38.51","2.548","0","0","0","0","0","211.2421698","8.106","3","151315"
"80","80","1","38.51","2.548","0","0","0","0","0","211.2421698","8.106","3","151315"
"81","81","1","38.51","2.548","0","0","0","0","0","211.2421698","8.106","3","151315"
"82","82","1","38.51","2.548","0","0","0","0","0","211.2421698","8.106","3","151315"
"83","83","1","38.51","2.548","0","0","0","0","0","211.2421698","8.106","3","151315"
"84","84","1","38.51","2.548","0","0","0","0","0","211.2421698","8.106","3","151315"
"85","85","1","38.51","2.548","0","0","0","0","0","211.2421698","8.106","3","151315"
"86","86","1","38.51","2.548","0","0","0","0","0","211.2421698","8.106","3","151315"
"87","87","1","38.51","2.548","0","0","0","0","0","211.2421698","8.106","3","151315"
"88","88","1","38.51","2.548","0","0","0","0","0","211.2421698","8.106","3","151315"
"89","89","1","38.51","2.548","0","0","0","0","0","211.2421698","8.106","3","151315"
"90","90","1","38.51","2.548","0","0","0","0","0","211.2421698","8.106","3","151315"
"91","91","1","38.51","2.548","0","0","0","0","0","211.2421698","8.106","3","151315"
